area,bedrooms,garage,address,district,type,total
25,1,0,Rua Frei Caneca,Consolação,Apartamento,3088
69,1,0,Rua Antônio Tenreiro,Jardim Sul São Paulo,Casa,868
360,5,4,Rua Ambrizette,Panamby,Apartamento,14870
75,2,0,Rua Saint Hilaire,Jardim Paulista,Casa,4046
70,2,2,Rua Doutor José Elias,Alto da Lapa,Apartamento,8121
65,2,1,Rua Cleonice Cândida Fanani,Jordanópolis,Apartamento,1544
61,2,2,Rua Álvaro Nunes,Vila Congonhas,Apartamento,4947
80,1,0,Rua Tabuaças,Jardim Marília,Casa,1247
107,3,2,Rua Francisco Pessoa,Vila Andrade,Casa em condomínio,7423
33,1,0,Rua 24 de Maio,Centro Histórico de São Paulo,Studio e kitnet,1627
33,1,0,Rua Doutor Almeida Lima,Mooca,Apartamento,2732
40,1,1,Rua Frei Caneca,Consolação,Studio e kitnet,4081
50,2,1,Rua Itanhaém,Vila Prudente,Apartamento,2915
52,1,0,Rua Martins Fontes,Centro,Apartamento,2560
120,3,0,Rua Vespasiano,Vila Romana,Casa,5747
42,1,0,Rua Nilza,Vila Esperança,Apartamento,2121
45,1,0,Rua Jeni Klabin Segall,Sítio do Mandaqui,Casa,707
123,3,2,Avenida Doutor Cardoso de Melo,Vila Olímpia ,Apartamento,10520
28,1,0,Rua Rego Freitas,República,Apartamento,2274
97,3,0,Rua Basílio da Cunha,Vila Deodoro,Apartamento,2697
49,2,1,Rua São Bernardo,Cidade Mãe do Céu,Apartamento,2836
190,3,0,Rua Isidoro de Sevilha,Vila Cleonice,Casa,3050
60,2,1,Rua Doutor Nicolino Morena,Vila Constança,Apartamento,1875
170,3,4,Rua João Cordeiro,Moinho Velho,Casa,3427
130,2,2,Alameda Tietê,Jardim Paulista,Apartamento,12100
140,2,3,Rua Frei Inácio da Conceição,Vila São Luís(zona Oeste),Casa,3153
136,1,2,Rua Minas Gerais,Higienópolis,Apartamento,12760
126,3,1,Rua Cristiano Viana,Cerqueira César,Apartamento,11290
67,2,1,Rua José Tavares Siqueira,Parque São Jorge,Apartamento,5368
39,1,1,Rua Joaquim Lapas Veiga,Jardim D’abril,Apartamento,2114
50,2,0,Rua Nunes Balboa,Vila Carrão,Apartamento,1759
55,2,1,Avenida Rio Bonito,Socorro,Apartamento,3140
58,2,1,Rua Santo Egídio,Santa Teresinha,Apartamento,2199
38,2,1,Rua Correia da Câmara,Vila Tolstoi,Apartamento,2631
90,3,1,Rua Bacaetava,Vila Gertrudes,Apartamento,4991
29,1,0,Rua Enótria,Vila Mazzei,Studio e kitnet,1846
110,2,2,Rua Bragança Paulista,Vila Cruzeiro,Apartamento,7162
180,3,4,Rua Ibitinga,Vila Bertioga,Casa,4721
94,2,1,Rua Abílio Soares,Paraíso,Apartamento,4579
95,3,2,Rua Fernandes Moreira,Chácara Santo Antônio (zona Sul),Apartamento,8563
120,2,0,Rua Abelardo Pinto,Centro Histórico de São Paulo,Apartamento,2272
68,2,2,Rua Butiá,Vila Regente Feijó,Apartamento,3738
77,3,2,Rua João de Sousa Dias,Campo Belo,Apartamento,4425
270,5,2,Avenida Professor José Maria Alkmin,Jardim Ester,Casa,4121
40,1,1,Rua Sansão Alves dos Santos,Cidade Monções,Apartamento,6086
90,2,2,Rua Professora Nícia de Paula,Vila Santa Maria,Casa,2081
360,3,2,Alameda Bertioga,Alphaville,Casa em condomínio,13270
134,3,1,Alameda Lorena,Jardim Paulista,Apartamento,7588
35,1,0,Rua Herculano de Freitas,Bela Vista,Apartamento,2104
102,2,0,Rua País Natal,Jardim Filhos da Terra,Apartamento,7987
54,2,0,Rua Clemente Pereira,Ipiranga,Apartamento,1923
45,2,1,Rua Henrique Casela,Penha de França,Apartamento,2733
48,2,1,Rua Senador Georgino Avelino,Itaquera,Apartamento,2896
48,2,1,Rua Felisbina Ferreira,Vila Carrão,Apartamento,2062
160,3,4,Rua Doutor Augusto de Miranda,Vila Pompéia,Casa,7010
140,3,2,Rua Conselheiro Moreira de Barros,Santana,Apartamento,8399
50,1,0,Rua Américo Garibaldi,Vila Arruda,Casa,1237
250,3,2,Rua Benedito Pereira de Borba,Vila Socorro,Casa,4066
129,3,2,Rua São Paulo Antigo,Real Parque,Apartamento,10300
470,4,5,Rua Maestro Tom Jobim,Jardim Anália Franco,Apartamento,19760
49,2,1,Rua Giácomo Cozzarelli,Vila Santa Teresa,Apartamento,1738
82,1,1,Rua Francisco Leitão,Jardim America,Apartamento,9187
56,2,1,Rua Rubens de Souza Araújo,São Domingos,Apartamento,3194
124,3,2,Rua Manuel da Nóbrega,Paraíso,Apartamento,8533
30,1,0,Rua dos Andradas,Santa Efigênia,Apartamento,1330
48,2,1,Rua Giacomo Cozzarelli,Vila Santa Teresa (zona Sul),Apartamento,1509
60,1,0,Rua Doutor Washington Pedro Lanzzelotti,Novo Osasco,Casa,1251
35,1,0,Rua Conselheiro Ramalho,Bela Vista,Studio e kitnet,1512
27,1,0,Rua Doutor Eduardo de Magalhães Gouveia,Jardim Luísa,Casa,625
99,3,2,Rua Laurentina Jorge Ribeiro,Vila Salete,Casa em condomínio,3642
32,1,0,Avenida Nove de Julho,Bela Vista,Apartamento,2938
50,1,0,Rua Vicente Pereira de Assunção,Vila Constança,Apartamento,1451
65,2,2,Rua Brigadeiro Galvão,Barra Funda,Apartamento,4132
89,3,2,Avenida Mascote,Vila Mascote,Apartamento,3993
50,1,0,Rua Doutor Almeida Nogueira,Penha de França,Casa em condomínio,1865
80,2,0,Rua Labatut,Ipiranga,Casa,2170
68,2,0,Rua Benvinda Aparecida de Abreu Leme,Santana,Apartamento,1799
40,1,1,Rua Piratininga,Jardim Brasília (zona Norte),Apartamento,2195
72,3,1,Rua Doutor João Batista de Lacerda,Quarta Parada,Apartamento,4022
54,1,1,Alameda Santos,Cerqueira César,Apartamento,5486
45,2,0,Rua Carapocaia,Vila Isolina Mazzei,Apartamento,1790
142,3,2,Rua Professor Dorival Dias Minhoto,Lauzane Paulista,Apartamento,8055
40,2,0,Rua Três Rios,Bom Retiro,Apartamento,1690
53,1,0,Avenida Ipiranga,Centro Histórico de São Paulo,Apartamento,1597
37,1,0,Avenida Prestes Maia,Centro,Studio e kitnet,1918
150,2,6,Rua Realismo,Cidade Ademar,Casa,3427
37,1,0,Rua Caetano de Oliveira,Jardim da Glória,Apartamento,1887
68,2,1,Avenida Itaboraí,Bosque da Saúde,Apartamento,5343
153,3,1,Rua Juventus,Mooca,Apartamento,5094
115,2,2,Rua Silveira Martins,Santa Teresinha,Casa,3665
80,2,1,Rua Santo Antônio,Bela Vista,Studio e kitnet,6284
34,1,0,Rua Maria do Carmo,Vila Trabalhista,Casa,1161
36,1,0,Rua Major Quedinho,Centro Histórico de São Paulo,Studio e kitnet,1824
31,1,0,Avenida Cupecê,Jardim Prudência,Apartamento,2194
57,1,1,Rua Jacques Félix,Vila Nova Conceição,Apartamento,5677
64,2,1,Rua João de Laet,Vila Aurora (zona Norte),Apartamento,2664
28,1,0,Rua dos Estudantes,Sé,Apartamento,3130
34,1,0,Avenida São João,República,Studio e kitnet,1470
170,3,1,Rua Francisco Teles Dourado,Jardim Prudência,Casa,3239
40,1,0,Rua Caetanópolis,Jaguaré,Casa,1471
98,2,2,Alameda Amazonas,Alphaville Industrial,Apartamento,8136
240,3,2,Rua Otávio Marques,Vila Eldízia,Casa,3610
69,1,4,Rua Curumataí,Vila Santa Virginia,Casa,1751
70,1,0,Rua Gandavo,Vila Clementino,Apartamento,3366
53,2,0,Rua Visconde de Parnaíba,Mooca,Apartamento,2324
30,1,0,Rua Barão de Loreto,Vila São José,Studio e kitnet,1696
240,4,1,Rua Haddock Lobo,Consolação,Apartamento,19590
66,2,1,Alameda Grajaú,Alphaville Industrial,Apartamento,4053
45,1,1,Rua José Acioli,Vila Guarani(zona Leste),Casa,1042
42,1,1,Rua Leopoldo Couto de Magalhães Júnior,Itaim Bibi,Apartamento,4591
125,1,1,Rua Padre Guido Del Toro,Chácara Inglesa,Casa,2254
202,3,5,Rua Santina da Costa,Vila Campesina,Casa,4925
50,2,1,Rua Agostinho Correia,Vila Regina,Apartamento,1650
145,4,2,Avenida Doutor Guilherme Dumont Vilares,Jardim Londrina,Apartamento,7147
70,2,0,Rua Sapucaia,Mooca,Apartamento,2076
60,2,1,Rua Jesuíno Rabello,Vila Milton,Apartamento,2159
220,4,2,Rua Dom José Antônio dos Reis,Jardim Bélgica,Casa,5099
126,3,1,Rua Pedro Cacunda,Jardim São Paulo(zona Norte),Casa,3848
270,5,3,Praça Tristão da Cunha,Água Rasa,Casa,4874
31,1,0,Alameda dos Jurupis,Moema,Apartamento,4003
75,3,2,Rua Gregório de Matos,Vila Regente Feijó,Apartamento,4823
40,2,1,Rua Maragojipe,Vila Antonina,Apartamento,2501
43,1,0,Rua Albino Boldasso Gabril,Vila Cruzeiro,Studio e kitnet,1494
210,3,3,Rua Canindezinho,Jardim das Vertentes,Casa,11640
40,1,0,Rua Antônio Fóster,Vila Socorro,Studio e kitnet,1608
25,1,0,Rua Apeninos,Vila Mariana,Apartamento,4045
58,2,1,Rua Garção Tinoco,Santana,Apartamento,3364
40,1,1,Alameda Mamoré,Alphaville Industrial,Studio e kitnet,4182
60,2,1,Rua Vergueiro,Vila Mariana,Apartamento,3612
29,1,0,"R. Dr. Almeida Lima - Brás, São Paulo - Sp, 03046-010, Brasil",Brás,Apartamento,3396
50,2,1,Rua Barão de Iguape,Liberdade,Apartamento,2601
215,3,4,Rua Chiquinha Rodrigues,Caxingui,Casa,11120
24,1,0,Rua da Consolação,Consolação,Studio e kitnet,3756
250,2,3,Rua Damiro de Oliveira Volpe,Vila Nova Conceição,Casa,9466
76,2,1,Alameda Tutóia,Gopoúva,Apartamento,3090
18,1,0,Rua Doutor Valentim de Queirós,Jardim Regina,Studio e kitnet,1121
41,1,1,Alameda Cauaxi,Alphaville Industrial,Apartamento,4576
74,3,1,Rua Alegria,Brás,Apartamento,4950
70,2,2,Rua do Golfinho,Jardim Paraiso,Apartamento,3516
30,1,0,Rua Avanhandava,Consolação,Studio e kitnet,1664
65,2,0,Rua Luís Carlos Paraná,Jardim Cidalia,Apartamento,2431
35,2,1,Rua do Bosque,Barra Funda,Apartamento,2316
131,3,3,Rua Palestina,Vila Mascote,Apartamento,15400
38,1,0,Rua Antônio João Fiore,Vila Gomes Cardim,Apartamento,1577
40,1,1,Rua Bucuituba,Vila Margarida,Apartamento,1518
85,2,1,Rua Barão de Vallim,Campo Belo,Apartamento,4433
250,3,2,Rua Resedá,Jardim das Flores,Casa,4068
84,3,2,Rua Ministro Gastão Mesquita,Perdizes,Apartamento,5164
200,5,3,Avenida Pompéia,Vila Anglo Brasileira,Casa,10520
170,2,1,Rua Francisco Siracusa,Parque Fongaro,Casa,2347
310,4,3,Rua Doutor Celso Dario Guimarães,Jardim Morumbi,Casa em condomínio,10030
125,3,1,Rua Carlos Sampaio,Bela Vista,Casa em condomínio,6264
55,2,1,Rua Cláudia,Vila Marieta,Apartamento,2400
58,2,1,Rua Maurício Jacquey,Rudge Ramos,Apartamento,1504
70,2,1,Avenida Padre Arlindo Vieira,Vila Vermelha,Apartamento,1909
60,2,1,Ibituruna,Parque Imperial,Apartamento,2981
31,1,0,Rua José Antônio Coelho,Vila Mariana,Apartamento,2908
19,1,1,Rua Turiassu,Perdizes,Studio e kitnet,2826
46,2,0,Rua Caetano Pinto,Brás,Apartamento,2141
95,3,1,Rua Lourenço Nunes,Vila Marari,Casa,4586
40,1,1,Rua Massaranduba,Vila Monte Alegre,Apartamento,2596
77,3,2,Rua Ernesto de Oliveira,Jardim Vila Mariana,Apartamento,5342
200,3,2,Rua Humberto de Campos,Vila Guarani,Apartamento,10450
32,1,1,Avenida Salgado Filho,Centro,Studio e kitnet,2499
62,2,1,Rua Maracá,Vila Guarani (z Sul),Apartamento,3124
42,1,1,Avenida Brigadeiro Luís Antônio,Centro Histórico de São Paulo,Apartamento,3350
139,4,3,Rua Doutor Guilherme Cristofel,Santana,Apartamento,10270
114,2,0,dos Pinheiros,Pinheiros,Apartamento,3635
90,2,2,Rua Rio Claro,Vila Camilópolis,Casa,2280
126,3,0,Rua Ibitirama,Vila Prudente,Apartamento,3160
55,2,1,Rua Jesuíno Antônio,Novo Osasco,Apartamento,2399
107,1,1,Rua Afonso Braz,Vila Nova Conceição,Apartamento,7385
37,1,0,Rua Birigui,Jardim Graziela,Studio e kitnet,1112
92,2,1,Rua Sócrates,Campo Grande,Apartamento,7081
150,3,2,Rua Galileu,Jardim Aeroporto,Casa,3878
135,3,0,Rua França Pinto,Vila Mariana,Apartamento,3340
130,2,2,Rua Vinte E Nove de Outubro,Vila Matilde,Casa em condomínio,4891
16,1,0,Rua Humberto I,Vila Mariana,Apartamento,3809
59,1,1,Rua Luís Correia de Melo,Vila Cruzeiro,Apartamento,4875
157,3,2,Rua Três Lagoas,Vila Sao Nicolau,Casa,2606
90,2,2,Rua Atibaia,Vila Valparaiso,Apartamento,4004
31,1,1,Avenida General Valdomiro de Lima,Jabaquara,Apartamento,1855
48,2,1,Avenida Guarapiranga,Parque Alves de Lima,Apartamento,2509
30,1,0,Avenida Rangel Pestana,Brás,Studio e kitnet,1686
34,2,0,Rua José Jardim da Silveira,Jardim Taquaral,Apartamento,2258
28,1,0,Rua Ameixeiras,Taboão,Casa,604
50,1,0,Rua Vale-verde,Vila Roque,Casa,1147
179,4,0,Rua José Antônio Coelho,Vila Mariana,Apartamento,6590
40,1,1,Rua Clodomiro de Oliveira,Parque Reboucas,Apartamento,2687
84,1,2,Rua Tebas,Vila Mascote,Apartamento,5549
33,2,0,Rua Antônio Gomes Ferreira,Parque Fongaro,Studio e kitnet,1627
50,1,0,Rua Brigadeiro Tobias,Centro,Apartamento,1549
125,3,0,Rua Saturno,Santo Antônio,Casa,1813
50,2,1,Rua Melo Palheta,Água Branca,Apartamento,2909
25,1,0,Rua Bartolomeu de Gusmão,Vila Mariana,Apartamento,3196
127,2,1,Avenida Santa Inês,Parque Mandaqui,Apartamento,2940
30,1,0,Rua Doutor Almeida Lima,Mooca,Apartamento,3306
90,2,2,Rua Coronel Deraldo Jordão,Vila Firmiano Pinto,Apartamento,6574
126,2,3,Rua Bento Arruda,Santa Teresinha,Casa,3706
90,1,2,Rua Pantojo,Vila Regente Feijó,Apartamento,7529
65,2,1,Rua Piraçununga,Vila Bertioga,Casa,2345
127,2,2,Alameda Cores da Mata,Tamboré,Apartamento,9368
90,3,3,Rua Tabatinguera,Sé,Apartamento,2550
39,1,1,Avenida Candida Oliveira das Dores,Tamboré,Apartamento,3347
100,3,0,Rua Visconde de Inhomerim,Mooca,Casa,2756
90,2,1,Rua Túnis,Jardim Maristela,Casa,2710
46,1,2,Rua Fiandeiras,Vila Olímpia,Studio e kitnet,9834
80,2,1,Rua Benedito Coelho Netto,Itaquera,Casa,1621
50,2,1,Avenida do Taboão,Taboão,Apartamento,1670
65,2,1,Avenida Senador Vergueiro,Rudge Ramos,Apartamento,3884
150,3,0,Rua Solimões,Barra Funda,Apartamento,2730
23,1,0,Rua Helena Zerrener,Liberdade,Studio e kitnet,1162
512,5,6,Rua Professor Lúcio Martins Rodrigues,Jardim Leonor,Casa,10680
170,3,1,Rua Umuarama,Vila Prudente,Casa,4126
200,4,1,Rua Hipódromo,Mooca,Casa,4849
200,3,1,Rua Amélia Almeida Lucas,Imirim,Casa,4925
140,2,2,Rua Hideo Suguiyama,Campo Belo,Casa,5056
51,2,1,Rua Rainha Vitória Eugênia,Vila Campestre,Apartamento,2885
95,3,2,Avenida Diógenes Ribeiro de Lima,Alto de Pinheiros,Apartamento,6811
100,3,2,Rua Tiangua,Vila Mascote,Apartamento,5223
41,1,0,Rua Doutor Fábio Montenegro,Vila Guilhermina,Apartamento,2128
80,2,2,Rua Manoel Rodrigues da Costa,Vila Guedes,Casa,2085
176,3,3,Avenida Parkinson,Alphaville Empresarial,Apartamento,14410
220,3,2,Rua Aurora Paulistana,Vila Marina,Casa,3127
50,2,0,Rua Engenheiro Bianor,Butantã,Apartamento,5461
36,1,0,Avenida Celso Garcia,Tatuapé,Studio e kitnet,1440
80,2,0,Rua Guareí,Vila Bertioga,Casa,2919
40,1,0,Avenida Doutor José Maciel,Jardim Maria Rosa,Studio e kitnet,925
189,2,5,Rua Frederico Von Martius,Vila Monumento,Casa,3511
32,2,0,Rua Mariz E Barros,Jardim da Gloria,Apartamento,3049
50,2,1,Rua Pernambucana,Conceição,Apartamento,2987
127,3,1,Avenida Santo Amaro,Vila Nova Conceição,Apartamento,7976
50,1,0,Praça Marechal Deodoro,Santa Cecilia,Apartamento,2385
120,2,1,Rua Juçara,Bosque da Saúde,Casa,3609
75,2,2,Rua Pascoal Vita,Vila Madalena,Apartamento,4326
42,1,0,Avenida Rouxinol,Indianópolis,Apartamento,5264
126,2,0,Rua Maria Daffre,Quinta da Paineira,Casa,2621
133,3,1,Avenida Paes de Barros,Mooca,Apartamento,5709
160,3,1,Rua Treze de Maio,Bela Vista,Apartamento,6254
57,2,1,Rua Corumbaiba,Vila Oratório,Apartamento,3746
36,1,1,Rua Suzano,Jardim Paulista,Apartamento,6218
54,2,2,Avenida Professor Francisco Morato,Vila Sonia,Apartamento,3109
38,1,0,Rua da Economia,Vila Nova Savoia,Casa,1276
73,2,1,Rua da Consolação,Consolação,Apartamento,4885
133,3,2,R. Justino Nigro,Interlagos,Casa,5224
41,2,1,Rua Professor Arnaldo João Semeraro,Jardim Santa Emília,Apartamento,2836
55,2,1,Rua Padre Benedito de Camargo,Penha de França,Apartamento,2566
90,2,1,Rua Bernardo de Quadros,Vila Morse,Casa,2969
45,1,0,Avenida Ipiranga,Sé,Apartamento,4116
70,2,1,Rua Lindório,Vila Domitila,Casa,2041
210,3,1,Rua Brás Cubas,Centro,Apartamento,3394
52,2,1,Rua Martim Afonso,Belenzinho,Apartamento,3245
120,2,1,Rua Coronel Fawcett,Vila Moraes,Casa,1519
210,3,2,Rua Herculânia,Vila Monumento,Casa,5240
35,1,0,Avenida Antônio Buono,Vila Guarani(zona Leste),Studio e kitnet,1153
30,1,0,Rua Gregório de Morais Rego,Jardim Consorcio,Casa,1213
50,2,0,Rua Enéas de Barros,Vila Santana,Casa em condomínio,1433
87,2,0,Rua Hayden,Vila Leopoldina,Apartamento,2833
49,1,1,Rua Joaquim Antunes,Pinheiros,Apartamento,4589
70,2,1,Rua Riga,Sacomã,Apartamento,1787
40,1,0,Rua Dom Bento Pickel,Casa Verde Alta,Casa,717
80,2,0,Largo do Arouche,República,Apartamento,2877
63,2,0,Rua São Jorge,Parque São Jorge,Apartamento,3116
268,3,2,Rua Peixoto Gomide,Jardim Paulista,Apartamento,14570
350,3,1,Praça da República,República,Apartamento,12040
75,3,1,Rua José Alves de Oliveira,Vila Maria Zélia,Casa,3335
90,2,1,Rua Visconde de Itaboraí,Vila Azevedo,Apartamento,4339
33,1,0,Avenida Rangel Pestana,Brás,Apartamento,1687
45,2,0,Avenida Professor Luiz Ignácio Anhaia Mello,Vila Prudente,Apartamento,3382
67,2,1,Rua Castilho,Brooklin,Apartamento,7059
250,2,1,Rua Moacir Miguel da Silva,Jardim Bonfiglioli,Casa,3435
54,1,0,Rua Conselheiro Crispiniano,República,Studio e kitnet,2276
96,2,0,Rua Augusta,Consolação,Apartamento,4739
70,3,1,Avenida Ministro Petrônio Portela,Vila Amélia,Apartamento,3017
30,1,0,Rua Jovina,Vila Mascote,Apartamento,1922
46,2,0,Rua Barão de Tramandaí,Vila Alpina,Apartamento,1886
96,2,1,Rua Bela Cintra,Consolação,Apartamento,6144
60,1,1,Rua Guaricanga,Lapa,Casa,2512
86,2,0,Rua Lima Cantuária,Vila Industrial,Casa,1981
73,1,1,Rua Maracá,Vila Guarani (z Sul),Apartamento,4623
54,2,1,Rua Braúlio Guedes,Gopoúva,Apartamento,1783
50,1,1,Avenida Xavier Pinheiro,Vila Formosa,Casa,1139
50,1,0,Rua Capricho,Vila Nivi,Casa,1155
34,1,0,Rua da Glória,Liberdade,Apartamento,3030
40,1,0,Rua Embuaçu,Vila Mariana,Studio e kitnet,1950
49,2,1,Rua Floresto Bandecchi,Jaguaré,Apartamento,1879
105,3,2,Alameda Itu,Jardim Paulista,Apartamento,10840
50,1,0,Rua Baltazar Brum,Vila Ré,Casa,1064
210,2,2,Rua Crítios,Vila Suzana,Apartamento,7528
52,2,1,Rua Rio Grande do Norte,Vila São Pedro,Apartamento,2062
67,1,0,Rua Pedro Taques,Consolação,Apartamento,9199
70,2,1,Rua José Casas Garcia,Jardim Rosa Maria,Casa,2033
46,1,0,Rua Belo Horizonte,Jardim Brasília (zona Norte),Apartamento,1362
35,1,0,Rua José Gonçalves Gomide,Vila Guilherme,Studio e kitnet,959
50,2,0,Avenida Elísio Teixeira Leite,Vila Brasilandia,Apartamento,1639
56,3,1,Avenida Túlio Teodoro de Campos,Vila Paulista,Apartamento,3554
27,1,0,Rua Santo Amaro,Bela Vista,Apartamento,2320
150,3,1,Rua João Fernandes Camisa Nova Júnior,Jardim São Luís,Casa,3274
250,4,3,Rua Bento Manuel,Tatuapé,Casa,5681
193,3,2,Rua Havaí,Sumaré,Apartamento,17270
152,6,1,Rua Estela,Vila Mariana,Casa,6755
40,1,1,Rua Domingos Fasolari,Casa Verde,Apartamento,2562
170,3,2,Rua Ângelo Zanini,Jardim Cidade Pirituba,Casa,5833
66,1,2,Rua Pamplona,Jardim Paulista,Apartamento,7034
270,6,0,Rua Félix Guilhem,Lapa de Baixo,Casa,6078
29,1,0,Rua Almo Abrahão Bertazzo,Freguesia do Ó,Apartamento,1142
110,2,2,Rua Alexandre Mortali,Moinho Velho,Casa,3487
45,1,0,Avenida Imirim,Imirim,Casa,1351
51,2,1,Rua Luiz da Costa Ramos,Água Funda,Apartamento,3759
42,2,0,Praça Alberto Lion,Cambuci,Apartamento,1916
50,1,0,Rua João Moura,Pinheiros,Casa em condomínio,2294
180,3,3,Rua Sebastião Salgado,Jardim Colombo,Casa,4571
36,1,0,Rua Dráusio,Butantã,Studio e kitnet,3775
34,2,1,Rua François Coty,Cambuci,Apartamento,2170
130,3,3,Rua Salete,Santana,Apartamento,7969
60,2,2,Rua Doutor Oscar Monteiro de Barros,Vila Suzana,Apartamento,3897
42,1,1,Rua Amauri,Jardim Europa,Apartamento,5840
56,1,0,Avenida São João,República,Apartamento,1795
52,2,1,Rua Bonnard,Alphaville Empresarial,Apartamento,5970
161,3,2,Rua Engenheiro Jean Buff,Jardim Paraíso,Casa,4265
202,3,2,Rua Taquaruçu,Vila Parque Jabaquara,Casa,3069
30,1,0,Rua Abelardo Pinto Piolin,Centro,Studio e kitnet,1632
482,4,4,Rua Conde de Porto Alegre,Campo Belo,Casa,15060
40,1,0,Avenida do Café,Vila Guarani (z Sul),Apartamento,2691
40,1,0,Rua Guaranésia,Vila Maria,Apartamento,1847
196,3,2,Rua João da Rocha,Jardim Consorcio,Casa,3652
58,2,1,Rua Domingos Paiva,Brás,Apartamento,4767
62,1,0,Rua Rangel Pestana,Sé,Apartamento,1659
160,3,1,Rua Demétrio Ribeiro,Cidade Mãe do Céu,Casa,4620
100,2,0,Rua Dante Alighieri,Vila Prudente,Casa,6985
25,1,0,Rua Piauiense,Conceição,Casa,800
125,3,0,Rua Amador de Barros Júnior,Vila Marina,Casa,1876
40,1,0,Rua Camajó,Jardim Vergueiro (sacomã),Casa,814
130,3,1,Rua da Consolação,Cerqueira César,Apartamento,13370
60,1,0,Rua Henrique Xavier,Vila Carrão,Casa,1403
53,1,1,Rua Azevedo Marques,Santa Cecília,Apartamento,3596
40,1,0,Rua Joracy de Camargo,Jardim Paraventi,Casa,968
32,1,0,Rua Ilíria,Vila Moinho Velho,Studio e kitnet,2091
45,2,1,Rua Barão de Iguape,Liberdade,Apartamento,2397
210,3,0,Alameda Ministro Rocha Azevedo,Cerqueira César,Apartamento,19880
24,1,0,Rua Santo Amaro,Bela Vista,Studio e kitnet,1370
50,1,1,Rua Antonio Palmieri,Vila Medeiros,Apartamento,1441
80,2,2,Rua Professor Tranquilli,Vila Mariana,Apartamento,5736
77,2,0,Rua Oliveira Catrambi,Jardim Vila Formosa,Apartamento,6577
154,4,3,Rua Tucuna,Vila Pompéia,Apartamento,7609
35,1,1,Rua Yvorne,Lauzane Paulista,Apartamento,2004
140,2,1,Alameda Casa Branca,Jardim Paulista,Apartamento,14240
38,1,0,Rua Ibéria,Vila Isolina Mazzei,Apartamento,1388
28,1,0,Avenida Álvaro Ramos,Belenzinho,Studio e kitnet,1292
27,1,0,Avenida Cásper Líbero,Centro Histórico de São Paulo,Apartamento,1360
47,2,0,Avenida Raimundo Pereira de Magalhães,Jardim Íris,Apartamento,2386
80,3,1,Rua Antônieta Francolino,Jardim Piratininga,Casa,2114
36,1,1,Rua Tenente Negrão,Itaim Bibi,Studio e kitnet,5810
28,1,0,Rua da Glória,Liberdade,Studio e kitnet,2327
50,2,1,Avenida Gaivota Preta,Jardim Valéria,Apartamento,1221
20,1,0,Rua Monteiro,Vila Monumento,Studio e kitnet,1283
29,1,0,Avenida Cásper Líbero,Centro,Studio e kitnet,1490
46,2,0,Avenida Rubens Fraga de Toledo Arruda,Engenheiro Goulart,Apartamento,1758
34,1,0,Rua Manoel Dutra,Bela Vista,Studio e kitnet,1623
60,1,0,Avenida Norberto Mayer,Vila Carrão,Apartamento,1405
21,1,0,Rua Avanhandava,Consolação,Studio e kitnet,1640
35,1,0,Rua Anhumas,Vila Santa Virginia,Apartamento,1409
35,1,1,Rua Domingos Lopes da Silva,Vila Suzana,Apartamento,1840
105,2,1,Avenida Doutor Gentil de Moura,Ipiranga,Apartamento,4763
67,2,1,Rua Martins Fontes,Bela Vista,Apartamento,5578
117,3,1,Rua Coronel Junqueira Franco,Jardim Taboão,Casa,3193
70,2,2,Rua Vilela,Tatuapé,Apartamento,3871
176,4,2,Rua Marquês de Lages,Vila Brasilina,Casa,3150
315,4,5,Rua Aristides da Silveira Lobo,Jardim Prudência,Casa,9390
32,1,1,Rua Doutor Olavo Egídio,Santana,Studio e kitnet,5149
300,3,5,Rua Andrea Del Castagno,Vila Santa Maria,Casa,6347
80,3,2,Rua Jorge Tibiriçá,Vila Mariana,Apartamento,7533
75,2,0,Rua Ática,Campo Belo,Apartamento,3505
140,2,0,Avenida Paulista,Bela Vista,Apartamento,7532
119,2,0,Rua Doutor Bitencourt Rodrigues,Sé,Apartamento,3645
31,1,1,Avenida Jandira,Indianópolis,Studio e kitnet,4395
200,4,3,Rua Paulo Lício Risso,Jardim Bonfiglioli,Casa,4062
50,1,1,Rua Alonso Calhamares,Vila Regente Feijó,Apartamento,4131
30,1,1,Rua Maestro Cardim,Liberdade,Studio e kitnet,5021
120,2,0,Rua Coronel Virgilio dos Santos,Jaguará,Casa,3961
75,3,1,Rua Porfírio do Nascimento,Vila Romano,Casa,3961
70,2,0,Rua Damásio Mascarenhas,Santana,Casa,2814
100,2,0,Rua Antônio Chagas,Chácara Santo Antônio (zona Sul),Apartamento,3059
40,1,0,Rua Vicente Pereira de Assunção,Vila Constança,Casa,1096
24,1,0,Rua Doutor Diogo de Faria,Vila Clementino,Apartamento,4035
150,3,3,Rua Pantaleão Brás,Jardim Ester,Casa,3252
450,5,5,Rua José Lógulo,Mooca,Casa,16800
80,1,1,Rua Oscar Freire,Pinheiros,Apartamento,7940
27,1,0,Avenida Piassanguaba,Planalto Paulista,Studio e kitnet,1339
59,2,0,Rua Bárbara Heliodora,Vila Romana,Apartamento,3192
120,3,2,Rua Texas,Brooklin,Casa,5083
50,2,1,Rua Domingos José Sapienza,Vila Amalia (zona Norte),Apartamento,2419
150,2,1,Rua Astrolábio,Vila do Encontro,Casa,1620
50,2,1,Rua Jorge Cândido Marin,Taboão,Apartamento,2000
