address,district,area,bedrooms,garage,type,rent,total
Rua Amaral Gurgel,Vila Buarque,24,1,0,Studio e kitnet,2230,2830
Rua Freire Farto,Jabaquara,85,1,1,Casa,1600,1847
Rua João Simões de Souza,Parque Reboucas,49,2,1,Apartamento,3400,4132
Rua Haddock Lobo,Cerqueira César,140,3,1,Apartamento,5500,7440
Rua Piraçununga,Vila Bertioga,50,2,2,Apartamento,2335,3435
Rua Barão de Tefé,Água Branca,103,3,1,Apartamento,4500,5692
Rua José Soriano de Sousa,Casa Verde Alta,54,2,1,Apartamento,1300,1872
Rua Marília de Dirceu,Jardim Aeroporto,70,2,1,Apartamento,2250,3188
Rua Isabel,Vila Palmares,391,4,6,Casa,3800,4067
Rua Dolores Duran,Vila Basileia,120,3,2,Casa,4400,4645
Rua João Maria da Silva,Jardim dos Prados,230,3,3,Casa,4900,5108
Avenida Mofarrej,Vila Leopoldina,69,1,1,Apartamento,7100,8310
Avenida Elísio Teixeira Leite,Sítio Morro Grande,56,2,1,Apartamento,2500,2796
Rua Manuel Dias de Oliveira,Jardim Alvorada (zona Oeste),41,2,0,Apartamento,1100,1507
Rua Maranhão,Santo Antônio,92,3,1,Apartamento,2300,3080
Alameda Ministro Rocha Azevedo,Jardim Paulista,180,3,4,Apartamento,15000,22540
Rua Abraão Miguel do Carmo,Vila Monte Alegre,38,1,0,Studio e kitnet,1955,2210
Rua Ibó,Vila Regente Feijó,80,1,0,Casa,1720,1827
Avenida Alcântara Machado,Brás,38,1,0,Apartamento,820,1134
Rua Sampaio Viana,Paraíso,65,2,2,Apartamento,4540,8000
Rua Jaú,Santo Antônio,57,2,2,Apartamento,4360,5198
Rua Alferes Magalhães,Santana,39,1,0,Studio e kitnet,1250,1395
Rua Moraes de Barros,Campo Belo,25,1,1,Casa,2500,2706
Rua Caetano Pinto,Brás ,37,1,0,Apartamento,1354,1773
Rua Martins Fontes,Bela Vista,114,3,2,Apartamento,6500,8679
Av. Benjamin Harris Hunicutt,Portal dos Gramados,45,2,1,Apartamento,950,1232
Rua João Baldinato,Vila Suzana,140,1,2,Apartamento,5500,7403
Rua Cerqueira César,Centro,22,1,0,Studio e kitnet,600,938
Avenida João Batista,Centro,160,2,1,Apartamento,2300,2585
Rua Aracuípe,Jardim Prudência,63,2,1,Apartamento,3500,4557
Avenida Jaguaré,Jaguaré,50,1,1,Apartamento,2490,3058
Rua Tabatinguera,Sé,23,1,0,Studio e kitnet,1500,2100
Avenida Padre Arlindo Vieira,Jardim Vergueiro (sacoma),47,2,0,Apartamento,1260,1845
Rua São Nicolau,Santo Antônio,50,1,0,Casa,800,934
Praça General Porto Carreiro,Jaguaré,63,2,1,Apartamento,3060,4113
Rua Doutor Orlando Zamitti Mammana,Jardim Paraíso,67,2,1,Apartamento,1800,3277
Rua Aguiar de Barros,Bela Vista,16,1,0,Apartamento,1800,2139
Avenida Santa Marina,Vila Albertina,140,3,0,Casa,2160,2341
Rua do Lavapés,Cambuci,26,1,0,Apartamento,1350,1616
Alameda Barros,Santa Cecília,30,1,0,Studio e kitnet,2327,2767
Rua Dona Veridiana,Higienópolis,135,4,1,Apartamento,4550,6236
Rua Deputado Laércio Corte,Recanto Morumbi,112,2,2,Apartamento,2500,4294
Avenida Mofarrej,Vila Leopoldina,70,3,1,Apartamento,4100,5159
Avenida Aparecida do Rio Negro,Jardim Iris,43,2,1,Apartamento,2290,2829
Rua Pentecostes,Vila Califórnia,28,1,0,Casa,695,758
Rua do Tatuapé,Maranhão,32,1,0,Apartamento,1550,1795
Rua Doutor Luiz Migliano,Jardim Caboré,96,3,2,Apartamento,5700,6889
Rua Rio Verde,Vila Pereira Cerca,56,2,2,Apartamento,3120,4092
Rua Juan Arfe,Vila Cruz das Almas,54,2,1,Apartamento,1381,1998
Rua Santa Romana,Vila Pereira Cerca,75,3,1,Casa,2000,2085
Rua Doutor Miranda de Azevedo,Vila Anglo Brasileira,300,4,2,Casa,7500,8699
Rua Guarapuava,Mooca,39,1,1,Studio e kitnet,3000,3499
Rua Bueno de Andrade,Aclimação,33,1,1,Apartamento,1530,2146
Rua Álvaro de Carvalho,Centro,28,1,1,Apartamento,1800,2560
Rua Doutor Roberto Feijó,Parque da Vila Prudente,50,2,1,Apartamento,2380,3013
Rua Francesco Granacci,Parque São Luís,100,3,0,Casa,1850,1928
Rua Camargo,Paulicéia,48,2,1,Apartamento,1490,1990
Rua Eça de Queiroz,Vila Mariana,80,3,0,Apartamento,2000,2927
Rua Critios,Vila Suzana,500,4,3,Apartamento,10000,18740
Avenida Doutor Luís Rocha Miranda,Jabaquara,71,2,1,Apartamento,2300,3009
Rua Itanhaém,Vila Prudente,200,3,0,Casa,4000,4586
Avenida Carlos Drummond de Andrade,Recanto das Rosas,120,2,0,Casa,1400,1600
Rua Baturité,Aclimação,320,5,0,Casa,7000,8579
Rua Emboaçava,Parque da Mooca,45,1,1,Casa,2160,2292
Avenida Padre Arlindo Vieira,Jardim Vergueiro (sacoma),47,2,1,Apartamento,1220,1816
Rua Almeida Ferraz,Parque Jabaquara,160,3,2,Casa,5180,5475
Rua Manuel da Nóbrega,Paraíso,157,3,1,Apartamento,5500,7418
Rua Emboaçava,Parque da Mooca,252,3,3,Casa,7500,7638
Avenida Lins de Vasconcelos,Cambuci,85,2,2,Apartamento,5290,6579
Rua Humberto I,Vila Mariana,41,1,1,Apartamento,5000,6093
Rua Coronel Mursa,Brás,35,2,0,Apartamento,2408,2985
Rua Santa Madalena,Liberdade,20,0,0,Studio e kitnet,850,1033
Rua Dúlce Sena Guimarães da Silva,Vila Renata,80,2,0,Casa,2800,2949
Rua General Porfírio da Paz,Vila Bancaria,90,2,1,Casa,1500,1604
Rua Costa Barros,Vila Alpina,39,2,0,Apartamento,1660,1724
Avenida Estados Unidos,Parque das Nações,125,3,2,Apartamento,3000,4462
Avenida Horácio Lafer,Itaim Bibi,61,1,1,Apartamento,8500,10360
Rua Mandiúba,Vila Celeste,180,2,2,Casa,1900,1981
Rua dos Jacintos,Mirandópolis,49,1,1,Apartamento,6500,7685
Rua Forte William,Vila Andrade,160,3,4,Apartamento,8000,10610
Rua dos Donatários,Mooca,90,2,0,Casa,2870,2992
Avenida Engenheiro José Salles,Socorro,72,3,1,Apartamento,3416,4325
Rua Maria Cândida Pereira,Vila São João,27,1,0,Studio e kitnet,2125,2387
Rua Glória,Liberdade,30,1,0,Studio e kitnet,1300,1390
Avenida Bosque da Saúde,Vila da Saúde,45,1,1,Apartamento,2100,3494
Avenida Conselheiro Rodrigues Alves,Vila Mariana,145,3,3,Apartamento,3646,7043
Rua dos Caciques,Vila da Saúde,61,1,2,Apartamento,3000,4200
Rua José Pereira de Carvalho,Vila Lageado,250,4,2,Casa,7500,8045
Avenida Engenheiro George Corbisier,Jabaquara,52,1,0,Casa,1160,1310
Rua Enótria,Vila Mazzei,30,1,0,Apartamento,1600,2092
Rua São Francisco,Sé,40,1,0,Studio e kitnet,900,1487
Rua Bela Cintra,Consolação,28,1,0,Apartamento,4500,5298
Via Transversal Sul,Novo Osasco,48,2,1,Casa em condomínio,2600,3350
Rua Gastão da Cunha,Vila Paulista,140,3,2,Casa,6000,6303
Rua Senador César Lacerda Vergueiro,Sumarezinho,101,2,2,Apartamento,12000,13480
Rua Democratas,Vila Monte Alegre,68,2,1,Apartamento,2500,3548
Alameda Joaquim Eugênio de Lima,Jardim Paulista,172,3,1,Apartamento,6562,9703
Rua dos Banqueiros,Vila Bancária,70,2,0,Apartamento,1300,1350
Rua Frei Inácio da Conceição,Vila Sao Luis(zona Oeste),60,1,0,Casa,1650,1866
Rua Getúlio Vargas Filho,Cidade Vargas,45,2,0,Apartamento,2151,2544
Rua Paulo Sérgio Oliveira de Aquino,Jardim Maia,89,3,2,Apartamento,2300,3296
Avenida Raimundo Pereira de Magalhães,Jardim Iris,70,3,1,Apartamento,1550,2345
Avenida Ibijaú,Moema,130,3,2,Apartamento,8200,10340
Avenida Piassanguaba,Planalto Paulista,70,1,1,Casa,2080,2353
Rua Arapuru,Planalto Paulista,145,2,1,Casa,5000,5821
Rua Bonifácio Veronese,Jardim Jaqueline,55,2,1,Apartamento,1200,1809
Rua Elizabeth Barbegian Baldinato,Vila Suzana,137,3,4,Apartamento,8500,10620
Rua Dona Ana Neri,Cambuci,55,2,1,Apartamento,2390,2874
Avenida Paes de Barros,Vila Prudente,90,2,1,Casa,2040,2586
Rua Aguapeí,Santa Maria,45,2,1,Apartamento,1800,2024
Rua Jucá Quito,Jardim Santo Antônio,103,2,2,Casa,8000,8365
Avenida João Del Papa,I.a.p.i.,60,3,1,Apartamento,1522,2124
Rua Doutor Rubens Meireles,Várzea da Barra Funda,40,1,1,Apartamento,2650,3500
Rua Jácome Teles de Menezes,Jardim Penha,38,2,0,Apartamento,1100,1357
Rua Major José Marioto Ferreira,Morumbi,180,3,2,Apartamento,4330,4497
Rua Coronel Lisboa,Vila Mariana,160,3,1,Casa,5000,5204
Rua Professor Alves Pedroso,Vila Paulistania,45,2,1,Apartamento,1260,1803
Rua Caminho do Engenho,Ferreira,37,1,0,Apartamento,2000,2524
Rua Alves Guimarães,Pinheiros,63,2,1,Apartamento,5000,6196
Avenida Benjamin Harris Hunnicutt,Vila Bremen,49,2,1,Apartamento,1000,1288
Alameda Jaú,Jardim Paulista,210,3,2,Apartamento,7000,11600
Rua Alberto Moreira Batista Filho,Jardim Japão,30,1,0,Apartamento,900,996
Avenida Nove de Julho,Bela Vista,63,2,0,Apartamento,1840,2623
Praça Professor José Azevedo Antunes,Lapa,200,2,0,Apartamento,2500,3396
Rua Dionísio da Costa,Vila Mariana,33,1,1,Studio e kitnet,3000,4040
Rua Jaci,Chácara Inglesa,85,1,0,Apartamento,2500,2596
Praça General Porto Carreiro,Jaguaré,63,3,1,Apartamento,1900,2908
Avenida Rouxinol,Moema,45,1,1,Apartamento,2856,3944
Avenida Ipiranga,República,40,1,0,Studio e kitnet,1650,2080
Avenida Brigadeiro Luís Antônio,Bela Vista,40,1,1,Studio e kitnet,2850,3707
Avenida São João Batista,Rudge Ramos,52,2,1,Apartamento,1300,1835
Rua Rubens Sverner,Chácara Santo Antônio (zona Sul),37,1,0,Studio e kitnet,2350,2457
Rua Nova Esperança,Vila Esperança,54,2,1,Casa,1350,1407
Rua Augusto Tolle,Santana,75,2,1,Casa,2950,3242
Travessa Rosa Rodrigues Zerbini,Lauzane Paulista,100,2,0,Casa,1600,1668
Rua Leonardo Cerveira Varandas,Paraíso do Morumbi,130,3,3,Apartamento,6300,8855
Rua David Eid,Vila do Castelo,54,2,2,Apartamento,2100,2939
Avenida Direitos Humanos,Mandaqui,180,3,5,Casa,9000,9341
Rua Marechal Barbacena,Vila Regente Feijó,228,3,4,Apartamento,9000,13660
Rua Alcino Braga,Paraíso,350,3,1,Casa,12880,14590
Rua Bela Cintra,Consolação,45,2,1,Apartamento,5400,6771
Avenida São João,República,40,1,1,Studio e kitnet,2500,3251
Rua Freire de Andrade,Vila Regente Feijó,121,3,2,Apartamento,7000,8878
Rua Almirante Marques de Leão,Bela Vista,96,1,2,Apartamento,3950,5643
Rua Ministro Adauto Lúcio Cardoso,Vila Gomes,280,3,4,Casa,5812,6534
Rua Pascoal Ranieri Mazzilli,Vila Mendes,67,2,1,Apartamento,2448,3169
Rua Coronel Melo de Oliveira,Perdizes,144,3,3,Apartamento,7600,10270
Rua Cuiabá,Alto da Mooca,56,1,0,Apartamento,1397,1927
Rua Bonnard,Alphaville Empresarial,54,1,2,Apartamento,3950,4663
Rua Manuel Álvares da Costa,Jardim Ester Yolanda,105,3,2,Casa,4500,4761
Rua Vicenza,Vila Dom Pedro Ii,35,1,0,Apartamento,1450,1705
Rua Consolação,Cerqueira César,85,2,0,Apartamento,3000,3731
Rua Silva Machado,Vila Carbone,150,3,2,Casa,2830,3073
Rua Hermógenes da Silva,Vila Olinda,131,3,2,Casa,3847,4112
Rua Alberto Savoy,Vila Romero,90,3,1,Apartamento,2220,3133
Rua Pintassilgo,Vila Uberabinha,54,2,1,Apartamento,5000,5765
Rua Pascal,Campo Belo,160,3,3,Apartamento,5000,8899
Rua Vicente Fernandes Pinto,Vila Santo Estefano,50,1,1,Casa,1880,1960
Rua Tuim,Moema,45,1,1,Apartamento,3500,5344
Rua Arizona,Cidade Monções,190,3,5,Casa,5500,5734
Rua Celso Vieira,Vila Pereira Barreto,30,1,0,Apartamento,730,1178
Rua Cícero Fernandes de Lyra,Jardim Santo Elias,180,2,5,Casa,4500,4698
Avenida Padres Olivetanos,Vila Esperança,73,3,1,Apartamento,2700,4093
Rua Doutor Melo Alves,Cerqueira César,100,2,1,Apartamento,7500,9244
Rua João Francisco Moreira,Jardim Dracena,90,1,0,Casa,1200,1251
Rua da Mooca,Mooca,75,3,2,Apartamento,3700,4896
Rua Bertioga,Chácara Inglesa,39,2,0,Apartamento,2500,3141
Rua Sertões de Canindé,Vila Invernada,450,3,4,Casa,4350,5342
Avenida Bartolomeu de Carlos,Picanço,38,1,1,Apartamento,2010,2652
Avenida João Batista Di Vitoriano,Jardim Consórcio,190,4,2,Casa,4500,4708
Travessa Manuela,Vila Granada,70,1,0,Apartamento,1300,1470
Rua Piatá,Vila Isolina Mazzei,80,2,1,Casa,2100,2290
Rua Capitão Alceu Viêira,Vila Ipojuca,143,3,2,Apartamento,10490,13250
Rua Giácomo Cozzarelli,Vila Santa Teresa (zona Sul),47,2,1,Apartamento,1200,1565
Rua Cândido Vale,Tatuapé,26,1,1,Studio e kitnet,3600,4137
Rua Capitão Alberto Mendes Júnior,Água Fria,170,4,2,Apartamento,6800,9571
Rua Sara Bernhard,Vila Cláudia,96,3,1,Apartamento,1687,2502
Rua Celso Ramos,Vila Andrade,69,3,2,Apartamento,3150,3899
Avenida Othon Luiz Silveira,Jardim Rosa de Franca,90,2,1,Casa,1800,1916
Avenida Guilherme Giorgi,Vila Carrão,74,3,1,Apartamento,2500,3361
Rua Epaminondas Melo do Amaral,Sítio do Mandaqui,40,1,0,Casa,819,854
Rua Batataes,Jardim Paulista,60,2,2,Apartamento,6000,6232
Avenida Voluntários da Pátria,Tucuruvi,42,1,2,Apartamento,2065,3068
Rua Ibitirama,Vila Prudente,50,2,1,Apartamento,2277,2788
Rua Augusto Soares,Jardim Paramount,74,2,2,Apartamento,3500,4313
Rua Iguaré,Tatuapé,54,2,1,Apartamento,1400,2069
Rua Humberto I,Vila Mariana,125,3,1,Apartamento,7000,8636
Rua do Lavapés,Cambuci,28,1,0,Apartamento,1690,2084
Rua General Gastão Goularte,Vila Guarani (zona Sul),70,1,0,Casa,1350,1530
Rua República Árabe Unida,Taboão,35,1,0,Casa,980,1022
Rua Soldado Paulo Tansini,Jardim do Papai,120,2,2,Casa,3000,3197
Rua Visconde de Parnaíba,Brás,28,1,0,Studio e kitnet,2130,2512
Rua Voluntários da Pátria,Santana,27,1,1,Studio e kitnet,1846,2744
Rua Maratona,Vila Alexandria,70,3,1,Apartamento,2800,4210
Rua Doutor Guilherme Cristoffel,Santana,74,2,1,Apartamento,2200,3720
Rua Agostinho Gomes,Ipiranga,44,1,1,Apartamento,2200,2851
Rua João Gomes Batista,Jardim Cidalia,26,1,0,Apartamento,1080,1521
Avenida Raimundo Pereira de Magalhães,Jardim Iris,76,3,1,Apartamento,3600,4517
Alameda Santos,Pinheiros,90,1,0,Apartamento,3700,5045
Rua Leopoldo Silingardi,Jardim Las Vegas,43,2,1,Apartamento,1800,2387
Rua Claudionor Barbieri,Vila Isolina Mazzei,55,2,1,Apartamento,1800,1869
Avenida Vila Ema,Vila Ema,66,3,1,Apartamento,2800,3608
Rua Ibiá,Cidade Patriarca,40,2,0,Apartamento,1450,1639
Rua das Palmeiras,Gopouva,50,2,1,Apartamento,1900,2417
Praça Franklin Roosevelt,Consolação,28,1,0,Apartamento,1514,2189
Rua Campo Grande,Padroeira,65,2,1,Apartamento,1800,2483
Rua Forte William,Jardim Fonte do Morumbi,160,3,3,Apartamento,9000,12160
Rua Rêgo Freitas,República,29,1,0,Studio e kitnet,2000,2410
Alameda Topázio,Alphaville,385,4,4,Casa em condomínio,9500,11670
Rua Bazílio da Silva,Jardim Monte Alegre,45,2,1,Apartamento,1850,2376
Travessa Jerônimo Bobadilha,Vila Carmem,80,3,1,Casa,2000,2235
Rua Helvétia,Campos Elíseos,42,1,0,Apartamento,1932,2406
Rua Alves de Almeida,Chácara Belenzinho,49,2,0,Apartamento,8000,8102
Rua Martim Burchard,Brás,40,1,0,Apartamento,2500,3196
Rua Espártaco,Vila Romana,185,4,1,Casa,3850,4013
Avenida Nove de Julho,Bela Vista,53,1,0,Apartamento,1600,2112
Rua Aurora,Santa Efigênia,49,1,0,Studio e kitnet,880,1489
Rua Moacir Piza,Jardim Paulista,120,3,1,Casa,7900,8540
Rua Dom Lourenço Lumini,Vila Santista,110,3,1,Casa,1500,1525
Avenida Corifeu de Azevedo Marques,Butantã,30,1,0,Studio e kitnet,1200,1266
Rua Borges de Figueiredo,Mooca,47,1,1,Apartamento,2700,4101
Avenida Parada Pinto,Vila Nova Cachoeirinha,70,2,2,Apartamento,1800,3034
Rua Desembargador Carneiro Ribeiro,Parque Artur Alvim,120,2,1,Casa,2200,2293
Avenida Cônego José Salomon,Vila Portugal,60,3,0,Apartamento,1160,1597
Rua Doutor José Cássio Soares,Parque São Lucas,55,1,0,Casa,1130,1182
Alameda dos Aicás,Indianópolis,48,1,1,Apartamento,2500,3632
Rua Joaquim Guarani,Jardim das Acacias,19,0,0,Studio e kitnet,1970,2404
Rua Bresser,Brás,58,2,1,Apartamento,1890,2562
Rua Isabel,Vila Guiomar,53,2,1,Apartamento,2500,3092
Avenida Tomás de Sousa,Jardim Monte Azul,23,1,0,Casa,1250,1303
Rua Francisco Loschiavo,Jardim Almanara,110,1,1,Casa,1500,1563
Rua Danaides,Vila Anhangüera,62,2,1,Apartamento,2500,3307
Rua Michigan,Cidade Monções,180,3,2,Apartamento,9000,12630
Rua Machado Bitencourt,Vila Clementino,75,2,1,Apartamento,2500,3707
Rua Padre Carvalho,Pinheiros,68,2,1,Apartamento,3800,5396
Rua Amaral Gurgel,Vila Buarque,39,1,0,Studio e kitnet,2000,2651
Avenida Aparecida do Rio Negro,Jardim Iris,44,2,1,Apartamento,1600,1912
Rua das Nogueiras,Jardim,54,2,1,Apartamento,3100,3675
Rua Professora Maria Bitencourt Petit,Cidade Ademar,70,2,1,Casa,2020,2189
Rua Davi Hume,Jardim Vila Mariana,47,1,1,Apartamento,3500,4513
Rua Pascal,Campo Belo,103,3,1,Apartamento,3500,5559
Rua Manuel Dias de Oliveira,Jardim Alvorada (zona Oeste),100,2,2,Casa,3000,3127
Rua Argonautas,Vila Formosa,70,2,0,Casa,1750,1824
Rua Tomás Ramos Jordão,Parque Monteiro Soares,210,3,3,Casa,6000,6255
Rua Vapabussu,Jardim Aeroporto,280,3,2,Casa,7500,8415
Rua José de Almeida,Vila Medeiros,185,3,3,Casa,3000,3186
Rua Curituba,Parque São Jorge,90,2,2,Casa,4030,4278
Rua Doutor Fábio Montenegro,Vila Guilhermina,43,1,0,Apartamento,1950,2335
Rua Marechal Hastinfilo de Moura,Vila Suzana,202,3,2,Apartamento,9500,13260
Rua Backer,Cambuci,18,1,0,Studio e kitnet,1233,1392
Rua André Saraíva,Vila Sonia,30,1,0,Casa,1150,1199
Rua Augusta,Consolação,50,1,1,Apartamento,5500,6437
Rua Humberto de Campos,Vila Guarani (zona Sul),101,3,2,Apartamento,3000,4031
Avenida Nova Cantareira,Jardim Leonor Mendes de Barros,125,3,2,Casa,3860,4038
Rua Tabatinguera,Sé,24,1,0,Studio e kitnet,2100,2650
Rua Candiolina Matos de Santana,Parque Continental Ii,40,1,0,Casa,910,957
Rua Arthur Bliss,Jardim Casablanca,38,1,0,Studio e kitnet,1200,1268
Rua Bela Cintra,Cerqueira César,98,3,3,Apartamento,5950,8754
Travessa Ode Marcial,Vila Dom Pedro Ii,100,2,1,Casa,2690,2871
Rua Serra de Jairé,Quarta Parada,38,1,0,Apartamento,2290,2806
Rua Itapuí,Vila Arriete,29,1,0,Studio e kitnet,830,950
Av Prestes Maia,Centro Histórico de São Paulo,76,1,0,Apartamento,1750,2478
Rua Simão da Matta,Vila Guarani (zona Sul),40,2,1,Apartamento,2000,2559
Rua Jordânia,Vila Guilhermina,75,3,2,Casa em condomínio,3600,3943
Rua Coronel Deraldo Jordão,Ipiranga,120,3,3,Casa,5500,5962
Rua Tenente Gelás,Tatuapé,90,3,2,Apartamento,2100,3387
Rua Ministro Godói,Perdizes,23,1,0,Studio e kitnet,2900,3695
Avenida Rudge,Barra Funda,35,2,1,Apartamento,2125,2657
Rua Batataes,Jardim Paulista,30,1,0,Studio e kitnet,4500,5724
Rua Bem Vinda Apparecida de Abreu Leme,Santana,72,2,0,Apartamento,1650,2098
Rua Antônio Tavares,Cambuci,57,1,0,Apartamento,1750,2405
Rua Olívia Guedes Penteado,Socorro,35,2,0,Apartamento,1500,2015
Avenida Coronel Francisco Júlio César Alfieri,Vila São Paulo,55,2,1,Apartamento,2300,3206
Rua Frei Caneca,Consolação,26,0,0,Studio e kitnet,2810,3306
Rua Doutor Aires Martins Torres,Vila São Francisco,82,3,0,Apartamento,2000,2707
"R. Durvalino Blanco, 32 - Vila Aurora (zona Norte), São Paulo - Sp, 02410-002, Brasil",Vila Aurora (zona Norte),40,1,0,Casa,800,899
Rua Liestal,Lauzane Paulista,53,2,1,Apartamento,1150,1844
Avenida Duque de Caxias,Campos Elíseos,37,1,1,Apartamento,3650,4606
Rua Capitão Otávio Machado,Chácara Santo Antônio (zona Sul),80,3,1,Casa,2970,3176
Rua Doutor Mario Rodrigues Louzã,Jardim Sao Jose (sao Mateus),50,1,1,Casa,950,990
Avenida Manuel Pímentel,Parque Santa Madalena,54,2,0,Casa,1300,1405
Rua Domingos Torres,Casa Verde Média,65,2,0,Apartamento,1415,2136
Rua Isabel de Góis,Jardim Botucatu,63,3,1,Apartamento,1400,2017
Rua Ibitirama,Vila Prudente,55,2,1,Apartamento,2747,3361
Rua Padre Mariano Ronchi,Vila Pereira Cerca,60,2,1,Casa,1200,1251
Rua Itajara,Vila Andrade,130,3,3,Apartamento,6800,9680
Avenida Thomas Edison,Barra Funda,26,1,0,Apartamento,1400,1784
Rua André Domingues,Jardim Paraíso,28,1,0,Casa,1269,1322
Rua Itapicuru,Perdizes,42,1,0,Apartamento,3400,3532
Rua Francisca Miquelina,Bela Vista,28,1,0,Studio e kitnet,1718,2219
Rua Francisco Valente,Jardim Ester Yolanda,67,2,2,Apartamento,2320,3540
Rua da Glória,Liberdade,35,1,0,Apartamento,1590,1684
Rua Carlos Belmiro Correia,Parque Peruche,67,2,1,Apartamento,1400,2310
Rua Savério Quadrio,Parque Ipe,44,2,1,Apartamento,1800,2169
Avenida Doutor Bernardino Brito Fonseca de Carvalho,Vila Talarico,62,3,1,Apartamento,1700,2217
Avenida Miguel Estefno,Vila da Saúde,150,2,1,Casa,2040,2226
Avenida Intercontinental,Jardim Frei Galvao,28,1,0,Casa,770,802
Rua do Erário,Vila Bertioga,70,2,0,Casa,2065,2320
Rua dos Aliados,Vila Sao Pedro,50,2,1,Apartamento,2350,2850
Rua Hermeto Lima,Vila Alpina,75,2,1,Apartamento,2600,3233
Rua Martins,Butantã,25,1,0,Apartamento,2500,2996
Rua Palene,Vila Guilherme,127,3,2,Casa,3750,3917
Rua Jaboatão,Casa Verde,82,3,2,Apartamento,2100,3257
Rua Coronel Francisco Amaro,Brás,48,2,1,Apartamento,1600,2251
Rua Adolfo Lima Barros,Cidade Líder,60,1,0,Casa,1400,1533
Rua Hermínio Lemos,Cambuci,15,1,0,Studio e kitnet,1150,1194
Avenida Vila Ema,Vila Ema,61,3,1,Apartamento,1957,2532
Rua Inhambú,Vila Uberabinha,80,3,0,Apartamento,3100,4000
Rua Doutor Luiz Migliano,Jardim Vazani,110,3,2,Apartamento,6000,7842
Rua do Acre,Vila Bertioga,79,3,1,Apartamento,3230,4143
Rua Vicente Pereira de Assunção,Vila Constança,65,3,1,Apartamento,1872,2621
Rua Artur de Azevedo,Pinheiros,107,3,1,Apartamento,4000,5446
Avenida Nove de Julho,Bela Vista,25,1,0,Apartamento,2300,2709
Rua Carlos Luís da Silva,Interlagos,350,3,4,Casa,6616,7702
Avenida Coronel Sezefredo Fagundes,Tucuruvi,90,3,2,Apartamento,3600,3989
Rua Gregório Souza,Vila Nova Savoia,44,2,1,Apartamento,1500,1723
Avenida Padre Antônio José dos Santos,Cidade Monções,52,2,1,Apartamento,3500,4792
Avenida Vereador Abel Ferreira,Vila Regente Feijó,28,1,0,Studio e kitnet,1133,1265
Rua Nossa Senhora Mãe dos Homens,Vila Progresso,80,3,1,Apartamento,2750,3706
Rua Conselheiro Furtado,Liberdade,36,1,0,Studio e kitnet,1798,2261
Rua Sumagre,Jardim Cidade Pirituba,379,5,4,Casa,9000,9937
Rua Céu Tropical,Conjunto Residencial Jardim Canaã,133,2,2,Casa,3500,3654
Rua Ática,Jardim Brasil (zona Sul),65,2,1,Apartamento,1200,2225
Rua Henrique Schaumann,Pinheiros,127,3,2,Apartamento,4800,7085
Rua Doutor Clemente Jobim,Jardim da Glória,28,1,0,Apartamento,2000,2477
Rua Aníbal de Matos,Vila Ema,110,2,1,Casa em condomínio,2000,2226
Rua Paolo Coviello,Vila Moinho Velho,140,3,2,Casa,2800,3076
Alameda Ministro Rocha Azevedo,Jardim Paulista,180,3,2,Apartamento,11250,18500
Avenida São Luís,República,140,3,1,Apartamento,6499,7588
Avenida Senador Vergueiro,Anchieta,56,2,1,Apartamento,2536,3130
Rua Capitão José Amaral,Vila Portuguesa,45,2,2,Apartamento,1700,2030
R Joao Cachoeira,Vila Nova Conceição,128,2,2,Apartamento,11640,14120
Avenida Marcos Penteado de Ulhôa Rodrigues,Tamboré,101,2,2,Apartamento,4450,6022
Rua Girassol,Vila Madalena,71,2,1,Apartamento,6000,7076
Rua Bispo Eugênio Demazemod 388 Apto 61,Vila Alpina,49,2,1,Apartamento,1050,1620
Rua Tomé de Lara,Tucuruvi,41,2,0,Apartamento,1800,2019
Rua Celso Ramos,Vila Andrade,47,2,1,Apartamento,4000,4504
Rua Teixeira de Melo,Tatuapé,30,1,1,Studio e kitnet,2200,2664
Rua Padre Raimundo da Silva,Vila California,50,1,0,Casa,950,990
Rua Heitor Ariente,Vila Sonia,279,3,0,Casa,3600,4033
Rua Celso Vieira,Parque Reboucas,30,1,0,Apartamento,685,1126
Rua Domingos Ataide,Parque Reboucas,58,1,1,Apartamento,1800,2449
Rua Monte Alto,Cidade Mãe do Céu,110,2,0,Casa,2150,2317
Avenida do Cursino,Saúde,30,1,0,Casa em condomínio,900,988
Avenida Senador Casemiro da Rocha,Mirandópolis,56,2,0,Apartamento,3300,4532
Rua Comendador Francisco Pettinati,Jardim Monte Kemel,62,2,1,Apartamento,2820,3679
Rua Doutor Djalma Pinheiro Franco,Vila Santa Catarina,65,1,0,Studio e kitnet,2700,2938
Rua Paim,Bela Vista,32,1,1,Studio e kitnet,2300,2894
Rua Itamonte,Vila Medeiros,60,2,0,Casa,1150,1408
Rua João José Pacheco,Jardim Vila Mariana,22,1,0,Studio e kitnet,2700,3438
Rua dos Estudantes,Sé,27,1,0,Apartamento,2400,2863
Avenida Gregório Bezerra,Jardim Primavera (zona Sul),75,2,1,Apartamento,2400,3193
Rua Uratinga,Vila Palmeiras,133,3,3,Casa,4000,4367
Rua Enótria,Vila Mazzei,28,1,1,Studio e kitnet,1800,2079
Rua Bergamota,Alto da Lapa,86,3,1,Apartamento,2620,4108
Rua Claudino Pinto,Brás,62,2,1,Apartamento,1428,2046
Dona Maria Pera,São Judas,90,3,2,Apartamento,2900,4189
